Method,Accuracy,AUC,Recall,F1,Prediction
Logistic Regression,78.14245810055866,0.7141945616962795,0.1437125748502994,0.23471882640586797,0.64
Random Forest Classifier,75.90782122905027,0.6603296139960516,0.26646706586826346,0.3403441682600382,0.4708994708994709
